ADM0_CODE,ADM0_NAME,areaHa,mean
229,Spain,5.051956003399184E7,11.25271818925778
34,Bosnia and Herzegovina,5104159.888501327,15.184429829363658
7,Andorra,47384.02034349461,10.54818935179929
3,Albania,2864389.5273047118,7.829954954954956
166,Monaco,841.7048567871996,
177,Netherlands,3506561.8419825165,19.211210763199738
148,Luxembourg,261195.73861256076,
146,Liechtenstein,15053.518952041719,
85,France,5.4737537594584405E7,16.059611482531697
93,Germany,3.559335863484174E7,18.134255775039225
237,Switzerland,4114819.353208353,10.248986508831443
27,Belgium,3056071.2235949473,16.288335186782255
18,Austria,8372697.550304478,11.893043919457535
17,Australia,5.686095716671312E8,2.727795153215904
189,Palau,45277.92522242282,
46,Canada,1.630433374060442E8,
46,Canada,4.249407754431912E7,
46,Canada,1.4716402101466425E7,
170,Mozambique,7.898756636911367E7,15.06854810363959
160,Mauritius,201955.79145943763,
152,Malawi,1.1916380386958119E7,15.537062277509495
205,Rwanda,2550204.0052894196,9.403834912644719
226,Somalia,6.352751508620481E7,3.069716974712618
270,Zambia,7.538785862518169E7,17.017573079112633
133,Kenya,5.849443995062296E7,3.0235739431709505
150,Madagascar,5.905909344025929E7,6.1915845956561375
220,Seychelles,50142.65760129992,
257,United Republic of Tanzania,9.436309226930924E7,12.938133742170223
253,Uganda,2.425760014587627E7,14.12696761898935
271,Zimbabwe,3.918433080254385E7,7.203736100777605
79,Ethiopia,1.1340119992169148E8,4.518882919224657
77,Eritrea,1.2119131236956222E7,1.9773828601266472
70,Djibouti,2175507.977525058,0.9634670487106017
58,Comoros,165811.68997225963,
43,Burundi,2697645.5489813583,13.866139454355137
89,Gabon,2.652053972758315E7,8.636756601200002
76,Equatorial Guinea,2712085.9893643064,24.0
50,Chad,1.2692869159458677E8,3.868234260247373
214,Sao Tome and Principe,99533.55898951883,
59,Congo,3.421199790094176E7,10.021884677076468
68,Democratic Republic of the Congo,2.3393591338756606E8,16.648656544451914
45,Cameroon,4.6738027827388026E7,4.033120950779098
49,Central African Republic,6.222572984992438E7,12.733084492114884
8,Angola,1.2514690730610271E8,11.951650164198773
169,Morocco,4.143432088480359E7,2.7695814100766794
145,Libya,1.623903206137921E8,2.1608368024677036
248,Tunisia,1.5521222069168247E7,2.941248768968336
40765,Egypt,9.839306984686735E7,
4,Algeria,2.3121837456547642E8,3.808615626936033
172,Namibia,8.261046116967545E7,2.069133393926007
235,Swaziland,1732068.1882519855,10.510547780489405
142,Lesotho,3049043.4471933437,5.488448217364243
227,South Africa,1.2217477226349914E8,4.8677789529139615
35,Botswana,5.797391417216544E7,2.571664983848468
243,Togo,5700432.304457625,6.787708344851931
221,Sierra Leone,7258426.952112571,17.45964928075545
217,Senegal,1.9691836237252682E7,5.270612497976198
182,Nigeria,9.127021237203276E7,3.1889293789579063
181,Niger,1.1864024837407553E8,1.0313894877282999
159,Mauritania,1.041491966937342E8,0.9722086301570618
155,Mali,1.2554983097123848E8,2.1460600375689936
144,Liberia,9651742.728688128,
105,Guinea-Bissau,3086013.4038674114,18.593882839045897
90,Gambia,1124454.558361495,5.138723583767637
106,Guinea,2.440056207173036E7,15.786576706811768
94,Ghana,2.398499310406244E7,6.630301379860456
47,Cape Verde,407042.87507616845,
66,C�te d'Ivoire,3.2312821810647786E7,11.008553513013707
42,Burkina Faso,2.7434002919138055E7,3.1659095295984856
29,Benin,1.1572006000516739E7,3.5395226375135955
234,Svalbard and Jan Mayen Islands,6293135.407609756,
151,Madeira Islands,80319.26766282883,
74578,Azores Islands,232125.97862902711,
104,Guernsey,7921.8046279555365,
128,Jersey,11962.699834280156,
38,British Indian Ocean Territory,4970.615338116075,
120,Isle of Man,57023.75379972808,
110,Holy See,49.69308550446188,
98,Greenland,2.1485908065622148E8,
268,Western Sahara,2.6919272593009945E7,
91,Gaza Strip,36274.58985575108,
267,West Bank,7982.132873349244,
267,West Bank,578653.9228616027,
95,Gibraltar,571.0687831920185,
207,Saint Helena,39947.7387564477,
149,Macau,1694.0373152599045,
33364,Hong Kong,108332.54135557236,
102,Abyei,997889.1048566834,6.8139763803149584
193,Paracel Islands,808.1323239400314,
218,Senkaku Islands,547.8547601808073,
216,Scarborough Reef,4446.9730194972535,
52,China/India,352892.3827521831,
2,Aksai Chin,3066754.904022416,1.5125553484036356
230,Spratly Islands,148.68006554917739,
40781,Jammu and Kashmir,1.8606670052118875E7,4.057710468929755
15,Arunachal Pradesh,6806730.664968393,
61013,Ilemi triangle,319252.9944413371,5.423620273301866
40760,Hala'ib triangle,1785376.3247682822,
40762,Ma'tan al-Sarra,199535.524651636,
184,Norfolk Island,3813.6338585023104,
266,Wallis and Futuna,14211.121147006474,
87,French Polynesia,398114.663113317,
126,Japan,3.7347654757758304E7,
204,Russian Federation,1.690492220210168E9,5.268083485135701
179,New Zealand,2.700234542928503E7,11.715590924012012
17,Australia,1.718862995356489E7,13.555928337404373
17,Australia,1.8443993281568983E8,5.39886165100539
192,Papua New Guinea,4.6421994705870956E7,
262,Vanuatu,1227800.0089975013,
225,Solomon Islands,2838158.0827483926,
83,Fiji,1835309.9460270358,
157,Marshall Islands,26910.448499918188,
173,Nauru,2178.496383381683,
163,Micronesia (Federated States of),74322.83286308091,
135,Kiribati,102471.14705261272,
212,Samoa,284588.4228324808,
245,Tonga,70185.3844996817,
252,Tuvalu,4772.279876694118,
46,Canada,2841750.7651495286,13.413568397656093
46,Canada,3.803606197177581E7,12.570665479141878
46,Canada,1.9709724859952027E8,14.592261904761907
