"","BIOME_NAME","BIOME_NUM","ISO3","COUNTRY","sum"
"189","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"KEN","Kenya",204205637.275874
"190","Tropical & Subtropical Moist Broadleaf Forests",1,"KEN","Kenya",13152.2849958941
"191","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"KEN","Kenya",13152.2849958941
"192","Montane Grasslands & Shrublands",10,"KEN","Kenya",262701.641292267
"193","Tropical & Subtropical Moist Broadleaf Forests",1,"MDG","Madagascar",205792750.841464
"194","Tropical & Subtropical Dry Broadleaf Forests",2,"MDG","Madagascar",66714634.6355222
"195","Montane Grasslands & Shrublands",10,"MDG","Madagascar",429572.120050025
"196","Deserts & Xeric Shrublands",13,"MDG","Madagascar",3192029.70745611
"197","Tropical & Subtropical Moist Broadleaf Forests",1,"MWI","Malawi",0
"198","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"MWI","Malawi",7787132.25332417
"199","Montane Grasslands & Shrublands",10,"MWI","Malawi",98134.9977843346
"200","Tropical & Subtropical Moist Broadleaf Forests",1,"MOZ","Mozambique",86453881.4594315
"201","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"MOZ","Mozambique",151745664.015706
"202","Montane Grasslands & Shrublands",10,"MOZ","Mozambique",121163.283932851
"203","Tropical & Subtropical Moist Broadleaf Forests",1,"RWA","Rwanda",1899357.61242942
"204","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"RWA","Rwanda",4231963.30780336
"205","Montane Grasslands & Shrublands",10,"RWA","Rwanda",0
"206","Tropical & Subtropical Moist Broadleaf Forests",1,"SYC","Seychelles",0
"207","Deserts & Xeric Shrublands",13,"SYC","Seychelles",0
"208","Tropical & Subtropical Moist Broadleaf Forests",1,"SOM","Somalia",61581101.5236385
"209","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"SOM","Somalia",137550069.957116
"210","Deserts & Xeric Shrublands",13,"SOM","Somalia",256762.624115074
"211","Deserts & Xeric Shrublands",13,"ATF","French Southern Territories",0
"212","Tropical & Subtropical Moist Broadleaf Forests",1,"TZA","Tanzania",41234350.7089217
"213","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"TZA","Tanzania",259401640.922405
"214","Montane Grasslands & Shrublands",10,"TZA","Tanzania",2550190.16002086
"215","Tropical & Subtropical Moist Broadleaf Forests",1,"UGA","Uganda",969563.976170814
"216","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"UGA","Uganda",20762990.0214481
"217","Montane Grasslands & Shrublands",10,"UGA","Uganda",40034.0210431096
"218","Tropical & Subtropical Dry Broadleaf Forests",2,"ZMB","Zambia",834494.527528356
"219","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"ZMB","Zambia",111450282.175104
"220","Montane Grasslands & Shrublands",10,"ZMB","Zambia",20714.4548459343
"221","Tropical & Subtropical Moist Broadleaf Forests",1,"ZWE","Zimbabwe",91974.2384455394
"222","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"ZWE","Zimbabwe",126566592.071773
"223","Montane Grasslands & Shrublands",10,"ZWE","Zimbabwe",1837295.19593142
"224","Deserts & Xeric Shrublands",13,"ZWE","Zimbabwe",73241.4762491932
"225","Tropical & Subtropical Dry Broadleaf Forests",2,"CPV","Cape Verde",0
"226","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"BFA","Burkina Faso",20270611.0374686
"227","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"GMB","Gambia",4689778.73299802
"228","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"GNB","Guinea-Bissau",4839671.89430669
"229","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"SEN","Senegal",24534082.9558143
"230","Tropical & Subtropical Moist Broadleaf Forests",1,"BEN","Benin",0
"231","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"BEN","Benin",246421.83070421
"232","Tropical & Subtropical Moist Broadleaf Forests",1,"CIV","Côte d'Ivoire",15411989.189859
"233","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"CIV","Côte d'Ivoire",146844587.506592
"234","Tropical & Subtropical Moist Broadleaf Forests",1,"GHA","Ghana",2513493.53232419
"235","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"GHA","Ghana",120917060.35989
"236","Tropical & Subtropical Moist Broadleaf Forests",1,"GIN","Guinea",8311528.87288944
"237","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"GIN","Guinea",29340019.5123302
"238","Tropical & Subtropical Moist Broadleaf Forests",1,"LBR","Liberia",0
"239","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"LBR","Liberia",0
"240","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"MLI","Mali",132101168.71022
"241","Deserts & Xeric Shrublands",13,"MLI","Mali",0
"242","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"MRT","Mauritania",10698895.218446
"243","Deserts & Xeric Shrublands",13,"MRT","Mauritania",0
"244","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"NER","Niger",9551398.14869257
"245","Deserts & Xeric Shrublands",13,"NER","Niger",0
"246","Tropical & Subtropical Moist Broadleaf Forests",1,"NGA","Nigeria",994247.786932334
"247","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"NGA","Nigeria",139205336.94186
"248","Montane Grasslands & Shrublands",10,"NGA","Nigeria",1184282.53633311
"249","Temperate Grasslands, Savannas & Shrublands",8,"SHN","Saint Helena",0
"250","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"SHN","Saint Helena",0
"251","Tropical & Subtropical Moist Broadleaf Forests",1,"SLE","Sierra Leone",502980.770985433
"252","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"SLE","Sierra Leone",299392.274669189
"253","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"TGO","Togo",3520237.28115491
"254","Tropical & Subtropical Moist Broadleaf Forests",1,"TGO","Togo",0
"255","Mediterranean Forests, Woodlands & Scrub",12,"DZA","Algeria",5483786.80430639
"256","Deserts & Xeric Shrublands",13,"DZA","Algeria",0
"257","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"DZA","Algeria",0
"258","Temperate Conifer Forests",5,"DZA","Algeria",853990.959979857
"259","Mediterranean Forests, Woodlands & Scrub",12,"EGY","Egypt",0
"260","Deserts & Xeric Shrublands",13,"EGY","Egypt",44.0922960150391
"261","Mediterranean Forests, Woodlands & Scrub",12,"ESH","Western Sahara",0
"262","Deserts & Xeric Shrublands",13,"ESH","Western Sahara",0
"263","Deserts & Xeric Shrublands",13,"LBY","Libya",0
"264","Mediterranean Forests, Woodlands & Scrub",12,"LBY","Libya",1163993.4744365
"265","Temperate Conifer Forests",5,"MAR","Morocco",1654369.09339323
"266","Montane Grasslands & Shrublands",10,"MAR","Morocco",643638.150260217
"267","Mediterranean Forests, Woodlands & Scrub",12,"MAR","Morocco",11237337.09083
"268","Deserts & Xeric Shrublands",13,"MAR","Morocco",132.549851797126
"269","Tropical & Subtropical Moist Broadleaf Forests",1,"SDN","Sudan",2406050.23727827
"270","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"SDN","Sudan",550101992.40343
"271","Montane Grasslands & Shrublands",10,"SDN","Sudan",0
"272","Deserts & Xeric Shrublands",13,"SDN","Sudan",277952.903512507
"273","Temperate Conifer Forests",5,"TUN","Tunisia",29510.7313994317
"274","Mediterranean Forests, Woodlands & Scrub",12,"TUN","Tunisia",522911.249838615
"275","Deserts & Xeric Shrublands",13,"TUN","Tunisia",40.7592703253359
"276","Deserts & Xeric Shrublands",13,"BWA","Botswana",3207353.01592992
"277","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"BWA","Botswana",41127062.1450158
"278","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"LSO","Lesotho",9967547.91893699
"279","Montane Grasslands & Shrublands",10,"LSO","Lesotho",2995878.44062746
"280","Deserts & Xeric Shrublands",13,"NAM","Namibia",5128303.7273209
"281","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"NAM","Namibia",46650689.5691613
"282","Tropical & Subtropical Moist Broadleaf Forests",1,"SWZ","Swaziland",2401566.0472739
"283","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"SWZ","Swaziland",5718463.08631673
"284","Montane Grasslands & Shrublands",10,"SWZ","Swaziland",1497365.3146859
"285","Tropical & Subtropical Moist Broadleaf Forests",1,"ZAF","South Africa",7413997.97589656
"286","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"ZAF","South Africa",112866964.26654
"287","Montane Grasslands & Shrublands",10,"ZAF","South Africa",35013056.4209486
"288","Mediterranean Forests, Woodlands & Scrub",12,"ZAF","South Africa",18348849.2758106
"289","Deserts & Xeric Shrublands",13,"ZAF","South Africa",7218696.00799554
"290","Temperate Broadleaf & Mixed Forests",4,"BLR","Belarus",114390.241370869
"291","Temperate Broadleaf & Mixed Forests",4,"HUN","Hungary",83630.6120987968
"292","Temperate Broadleaf & Mixed Forests",4,"BGR","Bulgaria",481606.774598222
"293","Mediterranean Forests, Woodlands & Scrub",12,"BGR","Bulgaria",0
"294","Temperate Grasslands, Savannas & Shrublands",8,"BGR","Bulgaria",0
"295","Temperate Broadleaf & Mixed Forests",4,"CZE","Czech Republic",0
"296","Temperate Conifer Forests",5,"CZE","Czech Republic",0
"297","Temperate Broadleaf & Mixed Forests",4,"MDA","Moldova",0
"298","Temperate Grasslands, Savannas & Shrublands",8,"MDA","Moldova",0
"299","Temperate Broadleaf & Mixed Forests",4,"POL","Poland",53581.696860719
"300","Temperate Conifer Forests",5,"POL","Poland",17647.4327699182
"301","Temperate Broadleaf & Mixed Forests",4,"ROU","Romania",2925493.51207264
"302","Temperate Conifer Forests",5,"ROU","Romania",903627.539494338
"303","Temperate Grasslands, Savannas & Shrublands",8,"ROU","Romania",0
"304","Temperate Broadleaf & Mixed Forests",4,"RUS","Russia",15294892.0938497
"305","Temperate Grasslands, Savannas & Shrublands",8,"RUS","Russia",28660905.9974682
"306","Temperate Conifer Forests",5,"RUS","Russia",1703226.74347427
"307","Montane Grasslands & Shrublands",10,"RUS","Russia",4458416.32686225
"308","Deserts & Xeric Shrublands",13,"RUS","Russia",4031472.94251688
"309","Temperate Broadleaf & Mixed Forests",4,"SVK","Slovakia",124605.750630232
"310","Temperate Conifer Forests",5,"SVK","Slovakia",97722.2441723328
"311","Temperate Broadleaf & Mixed Forests",4,"UKR","Ukraine",18401.1304113622
"312","Temperate Conifer Forests",5,"UKR","Ukraine",22378.2147925871
"313","Temperate Grasslands, Savannas & Shrublands",8,"UKR","Ukraine",16819.6097136943
"314","Temperate Broadleaf & Mixed Forests",4,"GGY","Guernsey",0
"315","Temperate Broadleaf & Mixed Forests",4,"IMN","Isle of Man",0
"316","Temperate Broadleaf & Mixed Forests",4,"JEY","Jersey",0
"317","Temperate Broadleaf & Mixed Forests",4,"BEL","Belgium",381577.973982136
"318","Temperate Broadleaf & Mixed Forests",4,"LUX","Luxembourg",0
"319","Temperate Broadleaf & Mixed Forests",4,"NLD","Netherlands",3945648.74165602
"320","Mediterranean Forests, Woodlands & Scrub",12,"MCO","Monaco",0
"321","Temperate Broadleaf & Mixed Forests",4,"AUT","Austria",278754.708517099
"322","Temperate Conifer Forests",5,"AUT","Austria",1660363.38111294
"323","Temperate Broadleaf & Mixed Forests",4,"CHE","Switzerland",793031.050875593
"324","Temperate Conifer Forests",5,"CHE","Switzerland",1736698.55319915
"325","Temperate Broadleaf & Mixed Forests",4,"DEU","Germany",3112490.22335066
"326","Temperate Conifer Forests",5,"DEU","Germany",29866.5529692118
"327","Temperate Broadleaf & Mixed Forests",4,"FRA","France",13092720.3621599
"328","Mediterranean Forests, Woodlands & Scrub",12,"FRA","France",373112.613596563
"329","Temperate Conifer Forests",5,"FRA","France",441103.159367865
"330","Temperate Broadleaf & Mixed Forests",4,"LIE","Liechtenstein",0
"331","Temperate Conifer Forests",5,"LIE","Liechtenstein",0
"332","Temperate Broadleaf & Mixed Forests",4,"IRL","Ireland",11357621.1262878
"333","Temperate Grasslands, Savannas & Shrublands",8,"FRO","Faroe Islands",0
"334","Temperate Broadleaf & Mixed Forests",4,"ALA","Åland",0
"335","Temperate Broadleaf & Mixed Forests",4,"DNK","Denmark",0
"336","Temperate Broadleaf & Mixed Forests",4,"EST","Estonia",0
"337","Temperate Broadleaf & Mixed Forests",4,"FIN","Finland",0
