"","BIOME_NAME","BIOME_NUM","ISO3","COUNTRY","sum"
"182","Montane Grasslands & Shrublands",10,"ERI","Eritrea",3631938.14731439
"183","Deserts & Xeric Shrublands",13,"ERI","Eritrea",3127.38271374835
"184","Tropical & Subtropical Moist Broadleaf Forests",1,"ETH","Ethiopia",2731695.78372719
"185","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"ETH","Ethiopia",51596701.4259151
"186","Montane Grasslands & Shrublands",10,"ETH","Ethiopia",190816429.534582
"187","Deserts & Xeric Shrublands",13,"ETH","Ethiopia",1221077.15954263
"188","Tropical & Subtropical Moist Broadleaf Forests",1,"KEN","Kenya",24704529.4123302
"189","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"KEN","Kenya",70308759.4583266
"190","Tropical & Subtropical Moist Broadleaf Forests",1,"KEN","Kenya",9704.19215425383
"191","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"KEN","Kenya",9704.19215425383
"192","Montane Grasslands & Shrublands",10,"KEN","Kenya",60750.4762651318
"193","Tropical & Subtropical Moist Broadleaf Forests",1,"MDG","Madagascar",19752834.8086748
"194","Tropical & Subtropical Dry Broadleaf Forests",2,"MDG","Madagascar",22035347.9774824
"195","Montane Grasslands & Shrublands",10,"MDG","Madagascar",598245.014372074
"196","Deserts & Xeric Shrublands",13,"MDG","Madagascar",127011.715445532
"197","Tropical & Subtropical Moist Broadleaf Forests",1,"MWI","Malawi",6714.68505322807
"198","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"MWI","Malawi",45861892.9309807
"199","Montane Grasslands & Shrublands",10,"MWI","Malawi",212084.734252315
"200","Tropical & Subtropical Moist Broadleaf Forests",1,"MOZ","Mozambique",8844368.18929955
"201","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"MOZ","Mozambique",44949437.747542
"202","Montane Grasslands & Shrublands",10,"MOZ","Mozambique",1249608.65154995
"203","Tropical & Subtropical Moist Broadleaf Forests",1,"RWA","Rwanda",10033675.8402205
"204","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"RWA","Rwanda",8334578.60454957
"205","Montane Grasslands & Shrublands",10,"RWA","Rwanda",164.225358973614
"206","Tropical & Subtropical Moist Broadleaf Forests",1,"SYC","Seychelles",0
"207","Deserts & Xeric Shrublands",13,"SYC","Seychelles",0
"208","Tropical & Subtropical Moist Broadleaf Forests",1,"SOM","Somalia",8442682.31092842
"209","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"SOM","Somalia",6924530.1710986
"210","Deserts & Xeric Shrublands",13,"SOM","Somalia",4658.06521609321
"211","Deserts & Xeric Shrublands",13,"ATF","French Southern Territories",0
"212","Tropical & Subtropical Moist Broadleaf Forests",1,"TZA","Tanzania",4915861.37629376
"213","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"TZA","Tanzania",277223102.259209
"214","Montane Grasslands & Shrublands",10,"TZA","Tanzania",4578112.69824353
"215","Tropical & Subtropical Moist Broadleaf Forests",1,"UGA","Uganda",2999165.81752571
"216","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"UGA","Uganda",59366098.8404652
"217","Montane Grasslands & Shrublands",10,"UGA","Uganda",118.823180378072
"218","Tropical & Subtropical Dry Broadleaf Forests",2,"ZMB","Zambia",157888.111125541
"219","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"ZMB","Zambia",55001729.5422797
"220","Montane Grasslands & Shrublands",10,"ZMB","Zambia",1734.39645056786
"221","Tropical & Subtropical Moist Broadleaf Forests",1,"ZWE","Zimbabwe",10283.6924128686
"222","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"ZWE","Zimbabwe",91567297.4888391
"223","Montane Grasslands & Shrublands",10,"ZWE","Zimbabwe",1730429.0723167
"224","Deserts & Xeric Shrublands",13,"ZWE","Zimbabwe",0
"225","Tropical & Subtropical Dry Broadleaf Forests",2,"CPV","Cape Verde",0
"226","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"BFA","Burkina Faso",85717032.1868584
"227","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"GMB","Gambia",4986384.70196791
"228","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"GNB","Guinea-Bissau",502535.010654527
"229","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"SEN","Senegal",41689636.0172449
"230","Tropical & Subtropical Moist Broadleaf Forests",1,"BEN","Benin",194803.352829624
"231","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"BEN","Benin",71227814.6001346
"232","Tropical & Subtropical Moist Broadleaf Forests",1,"CIV","Côte d'Ivoire",6530927.20506842
"233","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"CIV","Côte d'Ivoire",32783749.9228452
"234","Tropical & Subtropical Moist Broadleaf Forests",1,"GHA","Ghana",5265603.85233734
"235","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"GHA","Ghana",87032229.1416276
"236","Tropical & Subtropical Moist Broadleaf Forests",1,"GIN","Guinea",632691.824156785
"237","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"GIN","Guinea",5987883.10110643
"238","Tropical & Subtropical Moist Broadleaf Forests",1,"LBR","Liberia",2393.83899284848
"239","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"LBR","Liberia",0
"240","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"MLI","Mali",101148501.589007
"241","Deserts & Xeric Shrublands",13,"MLI","Mali",0
"242","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"MRT","Mauritania",262128.325626965
"243","Deserts & Xeric Shrublands",13,"MRT","Mauritania",0
"244","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"NER","Niger",4818939.0426307
"245","Deserts & Xeric Shrublands",13,"NER","Niger",0
"246","Tropical & Subtropical Moist Broadleaf Forests",1,"NGA","Nigeria",11593470.7730079
"247","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"NGA","Nigeria",633892762.08678
"248","Montane Grasslands & Shrublands",10,"NGA","Nigeria",10606280.0654418
"249","Temperate Grasslands, Savannas & Shrublands",8,"SHN","Saint Helena",0
"250","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"SHN","Saint Helena",0
"251","Tropical & Subtropical Moist Broadleaf Forests",1,"SLE","Sierra Leone",241957.337254167
"252","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"SLE","Sierra Leone",77078.3661565393
"253","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"TGO","Togo",42391900.6410177
"254","Tropical & Subtropical Moist Broadleaf Forests",1,"TGO","Togo",225966.595188771
"255","Mediterranean Forests, Woodlands & Scrub",12,"DZA","Algeria",3893607.5250146
"256","Deserts & Xeric Shrublands",13,"DZA","Algeria",0
"257","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"DZA","Algeria",0
"258","Temperate Conifer Forests",5,"DZA","Algeria",1058680.50608447
"259","Mediterranean Forests, Woodlands & Scrub",12,"EGY","Egypt",58552.1180733014
"260","Deserts & Xeric Shrublands",13,"EGY","Egypt",141224.801344728
"261","Mediterranean Forests, Woodlands & Scrub",12,"ESH","Western Sahara",0
"262","Deserts & Xeric Shrublands",13,"ESH","Western Sahara",0
"263","Deserts & Xeric Shrublands",13,"LBY","Libya",0
"264","Mediterranean Forests, Woodlands & Scrub",12,"LBY","Libya",222340.259730328
"265","Temperate Conifer Forests",5,"MAR","Morocco",892622.603569523
"266","Montane Grasslands & Shrublands",10,"MAR","Morocco",20652.5682161682
"267","Mediterranean Forests, Woodlands & Scrub",12,"MAR","Morocco",8185735.69734484
"268","Deserts & Xeric Shrublands",13,"MAR","Morocco",0
"269","Tropical & Subtropical Moist Broadleaf Forests",1,"SDN","Sudan",139349.086209227
"270","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"SDN","Sudan",144006589.749573
"271","Montane Grasslands & Shrublands",10,"SDN","Sudan",0
"272","Deserts & Xeric Shrublands",13,"SDN","Sudan",66660.2376889874
"273","Temperate Conifer Forests",5,"TUN","Tunisia",756603.271456948
"274","Mediterranean Forests, Woodlands & Scrub",12,"TUN","Tunisia",1510959.04110881
"275","Deserts & Xeric Shrublands",13,"TUN","Tunisia",0
"276","Deserts & Xeric Shrublands",13,"BWA","Botswana",11051.89777549
