ADM0_CODE,ADM0_NAME,areaHa,sum
179,New Zealand,2.700234542928503E7,546812.2054755335
17,Australia,1.718862995356489E7,1642473.729002504
17,Australia,1.8443993281568983E8,1.883332775145564E7
192,Papua New Guinea,4.6421994705870956E7,22909.36337219987
262,Vanuatu,1227800.0089975013,90.72843883269661
225,Solomon Islands,2838158.0827483926,83.36490575595032
83,Fiji,1835309.9460270358,36427.97520224473
157,Marshall Islands,26910.448499918188,0.0
173,Nauru,2178.496383381683,0.0
163,Micronesia (Federated States of),74322.83286308091,0.0
135,Kiribati,102471.14705261272,0.0
212,Samoa,284588.4228324808,0.0
245,Tonga,70185.3844996817,0.0
252,Tuvalu,4772.279876694118,0.0
46,Canada,2841750.7651495286,0.0
46,Canada,3.803606197177581E7,117875.59435974483
46,Canada,1.9709724859952027E8,1783321.983511889
46,Canada,2.336447122459359E8,2.616401582049218E7
46,Canada,1.409655898481782E8,3013298.4595330907
46,Canada,1.0308506651079087E8,0.0
46,Canada,4.653660071304325E7,0.0
259,United States of America,5.642947908319114E8,4.9839579741136126E7
259,United States of America,2.3085582162737098E8,8.311720735279566E7
259,United States of America,1.863122753261648E7,884144.2584561264
60,Cook Islands,24215.614801568692,0.0
183,Niue,26422.57255834477,0.0
185,Northern Mariana Islands,47744.50365452628,0.0
265,Wake Island,733.7217036012537,0.0
127,Jarvis Island,460.9618468788688,0.0
178,New Caledonia,1862489.776838188,1952.2659653657333
244,Tokelau,1502.3064746663208,0.0
101,Guam,54593.0100175627,0.0
5,American Samoa,20071.85791396678,0.0
136,Kuril islands,498530.423705692,3.2440722045898425
158,Martinique,110759.35692414764,3260.585151335915
100,Guadeloupe,170251.5096104584,14131.416965440827
55,Clipperton Island,889.5699182955693,0.0
195,Peru,1.2959014368947092E8,1085892.95011971
51,Chile,7.531256489268367E7,1201941.033766842
33,Bolivia,1.0881056656603555E8,2710485.490490791
71,Dominica,75355.41638332178,6.72558095703125
72,Dominican Republic,4824666.1914251335,379763.5484196975
11,Antigua and Barbuda,45394.25720400582,1283.27258815379
63,Cuba,1.1115853151377998E7,1306629.51240601
99,Grenada,31954.731649115656,0.0
123,Jamaica,1099956.6672438951,27597.455529191793
208,Saint Kitts and Nevis,26332.24785427411,301.9994355895997
246,Trinidad and Tobago,516445.67346587306,3301.557771557597
20,Bahamas,1193018.219430087,1161.2373716410846
209,Saint Lucia,60503.926069528294,241.67368436279355
211,Saint Vincent and the Grenadines,42828.30651311006,1.6550671142578124
24,Barbados,43466.30816024963,7961.22691834113
108,Haiti,2710457.76329267,86495.46507138568
191,Panama,7516404.558468479,121063.23412777117
75,El Salvador,2080931.9665997715,78406.33840876963
180,Nicaragua,1.2886623094791599E7,241277.52153580848
162,Mexico,1.95389954341675E8,1.1160449705502272E7
111,Honduras,1.1252910249776747E7,114632.28300037648
103,Guatemala,1.0944236182502992E7,349862.51684059727
61,Costa Rica,5125072.283466249,174729.99343085225
28,Belize,2183620.026463014,55913.76724783527
259,United States of America,3.930385357135889E7,4053875.6248491392
259,United States of America,7.690273768863657E7,1.1188351213781888E7
57,Colombia,1.1429279816041951E8,902070.4202970696
107,Guyana,2.1264957367845353E7,142255.21372690928
73,Ecuador,2.5739521337920308E7,397501.2766109555
86,French Guiana,8366334.601139602,1079.9557300177737
194,Paraguay,4.0032136979177095E7,2812807.954956818
233,Suriname,1.457410380657525E7,39934.15292664524
260,Uruguay,1.7790895968534138E7,2672305.300869368
263,Venezuela,9.159092252248697E7,724513.4964187309
176,Netherlands Antilles,79265.04778952726,29.173803240966784
174,Navassa Island,467.9223182442068,0.0
200,Puerto Rico,896574.3121978466,26850.61198101341
190,Palmyra Atoll,236.07522829613563,0.0
164,Midway Island,681.355809669833,0.0
134,Kingman Reef,32915.025588912846,0.0
129,Johnston Atoll,286.44689202810866,0.0
112,Howland Island,189.27394331803768,0.0
22,Baker Island,166.39866770980635,0.0
32,Bird Island,4.722338273382869,0.0
14,Aruba,18045.513349860677,0.0
197,Pitcairn,4906.061411792071,0.0
48,Cayman Islands,26935.139845873076,72.57935836791995
168,Montserrat,10156.20618978298,12.13491300671148
251,Turks and Caicos islands,53092.38034696308,23.872418310546877
39,British Virgin Islands,15467.417969822407,7.889118206787112
9,Anguilla,7895.079283356496,46.59053597337909
30,Bermuda,6323.682117411391,0.0
258,United States Virgin Islands,35347.439918952485,317.06530328785647
81,Falkland Islands (Malvinas),1203832.795687013,0.0
228,South Georgia and the South Sandwich Islands,385315.8619039717,0.0
12,Argentina,2.780356059627595E8,4.3355295045314275E7
109,Heard Island and McDonald Islands,41060.914326199076,0.0
36,Bouvet Island,4475.027544598489,0.0
10,Antarctica,1.243681973745551E9,0.0
