ADM0_CODE,ADM0_NAME,areaHa,mean
117,Iran  (Islamic Republic of),1.6782635231392774E8,24.23998779060033
231,Sri Lanka,6645400.85012693,0.17439993055254135
31,Bhutan,3773585.7320460305,11.44782790693365
23,Bangladesh,1.4014572301408524E7,
1,Afghanistan,6.4204947900660984E7,10.813345386164098
187,Oman,3.0920016892244544E7,11.305555556666667
137,Kuwait,1742052.436787621,
141,Lebanon,1013869.9125916223,
201,Qatar,1157245.4403817973,
215,Saudi Arabia,1.9297880167054433E8,
249,Turkey,7.805741067588623E7,25.287536957007024
269,Yemen,4.5514795111517735E7,9.919063167817537
118,Iraq,4.360974973227138E7,33.07030383594741
130,Jordan,8914202.624316065,21.528169014084508
238,Syrian Arab Republic,1.881517189079607E7,20.083002872100256
121,Israel,2073762.6622446156,
92,Georgia,6967603.739950553,20.874904341310366
64,Cyprus,924986.2943167958,
21,Bahrain,67458.85558466554,
19,Azerbaijan,1.645849122228552E7,12.72452365148708
13,Armenia,2959021.424718407,21.270819634993348
255,United Arab Emirates,7135417.26824485,
165,"Moldova, Republic of",3370582.4933658815,
113,Hungary,9286469.532451896,26.512437810945272
198,Poland,3.1075583808148023E7,13.467341531770224
203,Romania,2.3754290268263202E7,17.12379009073248
254,Ukraine,5.98637506463604E7,14.668487667971682
26,Belarus,2.0671246075877342E7,24.890283034930775
65,Czech Republic,7858298.442462465,
223,Slovakia,4892048.187986373,13.664091858037656
41,Bulgaria,1.1111097030884387E7,19.227818149358917
186,Norway,3.222264772045802E7,4.471929824561398
236,Sweden,4.4650961338309094E7,16.80065359477124
147,Lithuania,6464487.732557937,
140,Latvia,6424542.31526962,
119,Ireland,6952286.359153488,14.297202763936514
114,Iceland,1.018971440689602E7,
256,U.K. of Great Britain and Northern Ireland,2.432597656165418E7,15.073035665148437
84,Finland,3.347448126984447E7,
78,Estonia,4520054.192295528,
69,Denmark,4424826.53089501,
241,The former Yugoslav Republic of Macedonia,2538752.090909701,25.734879725085914
62,Croatia,5646322.103857141,14.964875322024252
156,Malta,31598.455212656885,
213,San Marino,5992.417153511561,
224,Slovenia,2026997.8612887675,13.186035883547746
97,Greece,1.3243848806919191E7,13.321673054313822
122,Italy,3.01143661624468E7,12.456624960015171
199,Portugal,8866299.447236713,14.798936071082077
229,Spain,5.051956003399184E7,18.267728466571437
34,Bosnia and Herzegovina,5104159.888501327,13.990728695681456
7,Andorra,47384.02034349461,24.691339474162387
3,Albania,2864389.5273047118,15.404634581105169
166,Monaco,841.7048567871996,
177,Netherlands,3506561.8419825165,15.773902239651763
148,Luxembourg,261195.73861256076,
146,Liechtenstein,15053.518952041719,
85,France,5.4737537594584405E7,17.786874224404723
93,Germany,3.559335863484174E7,16.690439841064745
237,Switzerland,4114819.353208353,17.594283900665
27,Belgium,3056071.2235949473,18.866486011792748
18,Austria,8372697.550304478,14.455690956173274
17,Australia,5.686095716671312E8,11.09130919507914
189,Palau,45277.92522242282,
46,Canada,1.630433374060442E8,
46,Canada,4.249407754431912E7,
46,Canada,1.4716402101466425E7,
170,Mozambique,7.898756636911367E7,12.861124106362574
160,Mauritius,201955.79145943763,
152,Malawi,1.1916380386958119E7,11.174498528635544
205,Rwanda,2550204.0052894196,18.895791916434696
226,Somalia,6.352751508620481E7,24.527070180003058
270,Zambia,7.538785862518169E7,9.841392581873414
133,Kenya,5.849443995062296E7,23.9656904132414
150,Madagascar,5.905909344025929E7,15.704825020096782
220,Seychelles,50142.65760129992,
257,United Republic of Tanzania,9.436309226930924E7,14.180406306979581
253,Uganda,2.425760014587627E7,12.943598504905042
271,Zimbabwe,3.918433080254385E7,19.56407141040148
79,Ethiopia,1.1340119992169148E8,21.644853983281283
77,Eritrea,1.2119131236956222E7,21.89180801335626
70,Djibouti,2175507.977525058,4.342105263157895
58,Comoros,165811.68997225963,
43,Burundi,2697645.5489813583,15.836785001875779
89,Gabon,2.652053972758315E7,19.06053627624989
76,Equatorial Guinea,2712085.9893643064,7.25
50,Chad,1.2692869159458677E8,23.044368906354467
214,Sao Tome and Principe,99533.55898951883,
59,Congo,3.421199790094176E7,17.52996188260359
68,Democratic Republic of the Congo,2.3393591338756606E8,10.697964410295432
45,Cameroon,4.6738027827388026E7,22.890544421892965
49,Central African Republic,6.222572984992438E7,14.152477861121477
8,Angola,1.2514690730610271E8,13.305274114578586
169,Morocco,4.143432088480359E7,20.23229950726916
145,Libya,1.623903206137921E8,20.879812480926688
