"","continent","biome","repTree","name","id","institution","countryExpertise","policyPriority","policy"
"48","Europe","Mediterranean Forests; Woodland; & Scrub","Olive tree (Olea europea L.) ","Pierluigi Paris",24,"National Research Council (CNR) - Research Institute on Terrestrial Ecosystems (IRET) ","Italy","Second","develop/reform policy"
"49","Europe","Mediterranean Forests; Woodland; & Scrub","Mediterranean deciduous oaks (Quercus pubescens Willd; Q. cerris L.) ","Pierluigi Paris",25,"National Research Council (CNR) - Research Inst. on Terrestrial Ecosystems (IRET)","Italy","Second","develop/reform policy"
"50","Africa","Tropical & Subtropical Dry Broadleaf Forests","Faidherbia albida","Dennis Garrity",4,"ICRAF and the Global EverGreening Alliance","Many countries in Africa and Asia.","Third","develop/reform policy"
"51","Africa","Tropical & Subtropical Moist Broadleaf Forests","Alnus Acuminata","Alain Ndoli",5,"International Union for Conservation of Nature (IUCN)","Rwanda; Ethiopia; Madagascar; Malawi; Comoros; and Tanzania","Third","expand ag extension services"
"52","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus deltoides","Amit Kumar",14,"Forest Research Institute Dehradun ","India ","Third","expand ag extension services"
"53","Africa","Tropical & Subtropical Moist Broadleaf Forests","Markhamia lutea ","AthanaseMukuralinda ",15,"CIFOR-ICRAF","Rwanda ","Third","provision inputs"
"54","Africa","Temperate Grasslands; Savannas & Shrublands","Faidherbia albida","Tesfaye Shiferaw Sida",16,"CIMMYT","Ethiopia; Kenya; Tanzania; Rwanda","Third","develop/reform policy"
"55","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","sugar maple","Andy Gordon",21,"University of Guelph","Canada/other temperate countries","Third","develop/reform policy"
"56","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Quercus macrocarpa","Alain Cogliastro",22,"IRBV - Institut de Recherche en Biologie V<e9>g<e9>tale","southern Qu<e9>bec; Canada","Third","expand ag extension services"
"57","Europe","Temperate Broadleaf & Mixed Forests","Hybrid poplars","Pierluigi Paris",23,"National Research Council (CNR)- Research Institute on Terrestrial Ecosystems","Italy","Third","expand carbon crediting/verification"
"58","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Acacia tortilis","Joy Tukahirwa",26,"Uganda Landcare Network","Uganda","Third","research"
"59","Africa","Tropical & Subtropical Moist Broadleaf Forests","Cordia africana ","Agena Tanga ",27,"Ethiopian Environment and Forest Research Institute (EEFRI) ","Ethiopia; tropics ","Third","research"
"60","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Parkia biglobosa","Ibrahim Abdullahi; PhD",28,"University of Abuja","Nigeria; United Kingdom","Third","develop/reform policy"
"61","Africa","Tropical & Subtropical Dry Broadleaf Forests","Maesopsis eminii","Peter O. Alele",29,"Conservation International","Uganda; Kenya; Rwanda; Tanzania","Third","expand ag extension services"
"62","Africa","Tropical & Subtropical Moist Broadleaf Forests","Grevillea Robusta","Drake N. Mubiru",30,"National Agricultural Research Organization (NARO)","Uganda","Third","provision inputs"
"63","Africa","Flooded Grasslands & Savannas","Leucaena leucocephala","ZUBAIRU YAKUBU GADA",31,"USMANU DANFODIYO UNIVERSITY SOKOTO; NIGERIA","NIGERIA","Third","expand carbon crediting/verification"
"64","North/Central America (includes Caribbean)","Temperate Grasslands; Savannas & Shrublands","Quercus macrocarpa","William Schroeder ",6,"GreenTree Agroforestry Solutions","Canada; United States","Third","expand carbon crediting/verification"
"65","Africa","Tropical & Subtropical Dry Broadleaf Forests","Faidherbia albida","Abayneh Derero",9,"Ethiopian Environment and Forest Research Institute","Ethiopia","Third","develop/reform policy"
"66","Europe","Temperate Broadleaf & Mixed Forests","Populus","Paul Burgess",12,"Cranfield University","UK","Third","expand carbon crediting/verification"
"67","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Populus","Marney Isaac",13,"University of Toronto","Canada; Costa Rica; Ghana","Third","expand carbon crediting/verification"
"68","Europe","Boreal Forests & Taiga","Alnus glutinosa","Michael den Herder",17,"European Forest Institute","Finland","Third","Other"
"69","Europe","Mediterranean Forests; Woodland; & Scrub","Quercus ilex","Manuel Bertomeu",18,"University of Extremadura","Spain; Philippines","Third","develop/reform policy"
"70","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Robinia pseudoacacia","Harry Greene",19,"Propagate Ventures","United States; Canada; Argentina; Dominican Republic","Third","research"
"71","South America","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Eucalyptus sp.","Wander Luis Barbosa Borges",20,"Agronomic Institute - IAC","Brazil","Third","provision inputs"
"72","Europe","Mediterranean Forests; Woodland; & Scrub","Olive tree (Olea europea L.) ","Pierluigi Paris",24,"National Research Council (CNR) - Research Institute on Terrestrial Ecosystems (IRET) ","Italy","Third","expand carbon crediting/verification"
"73","Europe","Mediterranean Forests; Woodland; & Scrub","Mediterranean deciduous oaks (Quercus pubescens Willd; Q. cerris L.) ","Pierluigi Paris",25,"National Research Council (CNR) - Research Inst. on Terrestrial Ecosystems (IRET)","Italy","Third","expand ag extension services"
"74","Africa","Tropical & Subtropical Dry Broadleaf Forests","Faidherbia albida","Dennis Garrity",4,"ICRAF and the Global EverGreening Alliance","Many countries in Africa and Asia.","Fourth","provision inputs"
"75","Africa","Tropical & Subtropical Moist Broadleaf Forests","Alnus Acuminata","Alain Ndoli",5,"International Union for Conservation of Nature (IUCN)","Rwanda; Ethiopia; Madagascar; Malawi; Comoros; and Tanzania","Fourth","research"
"76","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus deltoides","Amit Kumar",14,"Forest Research Institute Dehradun ","India ","Fourth","develop/reform policy"
