"","ISO3","NAME","Crop_TotalC_sum_MgC","Graze_TotalC_sum_MgC","Crop_FluxDensity_mean_MgC/ha_CORRECT","Graze_FluxDensity_mean_MgC/ha_CORRECT","Crop_FluxDensity_mean_MgC/ha_WRONG","Graze_FluxDensity_mean_MgC/ha_WRONG","CropArea_sum_ha","GrazeArea_sum_ha","Crop_ForestCover_mean_percent_allDelta","Crop_ForestCover_mean_percent_positiveDelta","Graze_ForestCover_mean_percent_allDelta","Graze_ForestCover_mean_percent_positiveDelta","Crop_Delta_mean_percent","Graze_Delta_mean_percent","Crop_ExpertRecs_mean_percent","Graze_ExpertRecs_mean_percent"
"82","GIN","Guinea",5997404.94757713,26225001.8798326,0.623624948742558,0.426706309090368,0.46379906394185,0.321371928839371,320566.870609755,2048637.92895694,6.22450458289649,6.11151200175183,10.4891862094458,9.84396256447096,18.600955969727,17.1078528351874,24.3934036857307,27.7672962186297
"83","GLP","Guadeloupe",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2965397897759,17.8108334989187
"84","GMB","Gambia",4755797.03714748,3742042.56825895,0.582382226157261,0.412938555372664,0.425833629557223,0.301951337099379,272203.650428901,302066.132242675,1.77602972028797,1.65424323368941,1.21927688318789,1.07708752306654,23.4947194501824,25.8459042082124,25.22222222,26.91666667
"85","GNB","Guinea-Bissau",696546.581610762,6374592.74023474,0.638928125542028,0.361171851246006,0.469221108175572,0.265231401768308,36339.3290400677,588324.986959629,6.83197540910247,7.23513376671387,11.0548014364026,10.8849378780212,17.9851564525013,15.8133361227071,25.22222222,26.91666667
"86","GNQ","Equatorial Guinea",16.238033214426,84.9611926010764,0.550700185002337,1.3777484973872,0.453722095489502,1.13538186436114,0.982871966552734,2.05555640869141,10,10,NA,NA,11,NA,21,31.25
"87","GRC","Greece",7550209.70217883,1356335.61654642,0.136133316767613,0.418724596304464,0.077119554733357,0.246923814506107,1848729.3391148,107973.56452722,4.8384155873601,4.02737807140428,4.08147438725951,3.45161876604726,9.06294650834895,19.0425250663908,12.3469694082136,24.2084331921172
"88","GRD","Grenada",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.7882816211269,27.6694160171652
"89","GTM","Guatemala",2303109.47997049,705261.387557073,0.627370134930371,1.18934099940707,0.458237985068799,0.93385937043308,122368.457987782,19766.167087731,20.2780996867742,20.477323480886,14.0156194677556,11.5397004565032,17.5250448568423,16.3201833876541,21.7115393350774,29.3349275006679
"90","GUF","French Guiana",3.15292961168289,0,0.236226913520598,NA,0.0796896424919357,NA,0.44490126953125,NA,19.1806010427857,16.4,NA,NA,4.6,NA,21,31.25
"91","GUM","Guam",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,23.33333333
