"","ISO3","Crop_FluxDensity_mean_MgC/ha","Graze_FluxDensity_mean_MgC/ha","Crop_TotalC_sum_MgC","Graze_TotalC_sum_MgC","Crop_Area_sum_ha","Graze_Area_sum_ha","Crop_ForestCover_mean_percent","Graze_ForestCover_mean_percent","Crop_Delta_mean_percent","Graze_Delta_mean_percent","country_name"
"113","KGZ",0.169544210123551,0.172216102523573,10138791.5535948,61686281.3550479,1389563.29443717,7561149.04766411,3.28564022263585,0.304634531464124,16.4871686844309,17.3150868770021,"Kyrgyzstan"
"114","KHM",1.05256010862707,1.02763810523063,190522985.743592,375045.548811891,5309939.68484819,14936.3260845398,7.41198746412589,5.8191532834248,24.1094244436782,21.4744684854334,"Cambodia"
"115","KIR",NA,NA,0,0,0,0,NA,NA,NA,NA,"Kiribati"
"116","KNA",NA,NA,0,0,0,0,NA,NA,NA,NA,"St. Kitts & Nevis"
"117","KOR",0.49389192843486,NA,20323782.2059724,0,1105606.18845384,0,9.33697905966893,NA,26.2014824802675,NA,"South Korea"
"118","KWT",0.0218188447741725,0.0287710633826594,7465.3094996602,57335.9557622039,9885.88235845765,57811.9838677702,0.0858413924236428,0,3.91415860757636,5,"Kuwait"
"119","LAO",1.04003336603077,1.20269494715053,46273435.1894447,65532.7620556996,1250264.21754888,1701.33910499201,7.05116099367611,2.40439893092147,24.4944621457382,28.8456010690785,"Laos"
"120","LBN",0.0937416920661253,NA,354461.631137218,0,103537.849822902,0,2.01116741448479,NA,7.74632679570716,NA,"Lebanon"
"121","LBR",0.743543018995287,NA,13022.3809434497,0,530.23343586871,0,9.13025120670142,NA,12.0188574302822,NA,"Liberia"
"122","LBY",0.0414895662487819,0.0846283312754131,1770699.40959295,11456603.6994731,913855.591967307,11123048.9137088,0.0173046542519456,0.130730271064529,6.85766478899196,13.8675294594406,"Libya"
"123","LCA",NA,NA,0,0,0,0,NA,NA,NA,NA,"St. Lucia"
"124","LIE",0.178005053601518,NA,6754.92528381849,0,543.137415175375,0,17.4481976924202,NA,10.6148405326544,NA,"Liechtenstein"
"125","LKA",0.524481654580856,0.172136210153314,3102213.20337142,6635.02464760086,89641.6855127092,1126.07760648193,10.7419960171443,1.65788736340712,12.7105016019368,4.32894368170356,"Sri Lanka"
"126","LSO",0.29180472403179,0.304919120061377,2474708.57362882,18930598.3666266,245955.254970582,1549620.84083089,2.70558323640416,1.06598948639312,23.7375272571762,22.4098118095986,"Lesotho"
"127","LTU",0.416901735882763,NA,43142953.9056719,0,1959586.68748618,0,8.46579541250959,NA,27.0726661274028,NA,"Lithuania"
"128","LUX",0.463727999618879,NA,1108845.68423292,0,51518.0280895678,0,9.8353326211086,NA,25.7031289188435,NA,"Luxembourg"
"129","LVA",0.411406777738016,NA,22472766.1990259,0,1000690.76897019,0,11.1599955214814,NA,24.3784660184498,NA,"Latvia"
"130","MAC",0.273306534675035,NA,8.11720407984853,0,0.912116979980469,0,12.3636363636364,NA,8.63636363636364,NA,"Macao SAR China"
"131","MAF",0.0182458435599009,NA,0.295582665670395,0,0.170169024658203,0,4.16666666666667,NA,0.666666666666667,NA,"Saint Martin (French part)"
"132","MAR",0.127356266980143,0.134495746075419,16992809.0581389,49595354.8979378,6305113.20523593,11812494.2469712,1.07593020888576,0.225337530928369,14.2028182342003,18.07792896727,"Morocco"
"133","MCO",0.00599772702666429,NA,0.210520218635917,0,0.0649804077148437,0,12.7692307692308,NA,0.365384615384615,NA,"Monaco"
"134","MDA",0.266777597842544,NA,23459600.8142589,0,1864769.90620559,0,6.17745376559112,NA,25.4283585148145,NA,"Moldova"
"135","MDG",0.622244934589892,0.472802075001505,37159615.5587741,306101712.934749,1729877.76275134,15580234.3727839,5.61046605715892,6.41560247135357,18.3701568984707,14.1478386148522,"Madagascar"
"136","MDV",NA,NA,0,0,0,0,NA,NA,NA,NA,"Maldives"
"137","MEX",0.214611821644301,0.294237869501095,87677924.2561162,113438782.284517,9184279.47391638,38644856.7779893,5.86484469127179,2.19692326119573,14.6179856459861,20.8013726464867,"Mexico"
"138","MHL",NA,NA,0,0,0,0,NA,NA,NA,NA,"Marshall Islands"
"139","MKD",0.20694992442063,0.298037647460948,3694953.83376004,411731.115585553,292444.6635071,30809.7080837051,3.89922244022073,1.71559491326461,18.8275590712898,27.2935886859971,"North Macedonia"
"140","MLI",0.484990610396071,0.182780715819852,89447947.0173868,199501890.623573,5948736.15227685,19986636.633524,1.3894808721053,0.466504971017795,23.8327413479737,15.4931309221529,"Mali"
"141","MLT",0.122655675038427,NA,9494.42457659139,0,2086.31977047,0,0.773193005186662,NA,8.97680699481333,NA,"Malta"
"142","MMR",0.462425608984302,NA,204874908.956053,0,10034766.9089167,0,10.3236356391008,NA,17.4234420069198,NA,"Myanmar (Burma)"
"143","MNE",0.242844365750901,0.501695807680815,58927.4619016372,68343.912757959,11821.8551699048,3336.55731219482,7.28026315274736,2.17871724739367,15.458949051632,32.8212827526063,"Montenegro"
"144","MNG",0.205348565523569,0.201961933427438,6775129.21833992,647814653.335922,549602.21376644,83821219.7609991,2.34753840130082,0.0954793203273425,17.4078797275593,17.4546129218104,"Mongolia"
"145","MNP",NA,NA,0,0,0,0,NA,NA,NA,NA,"Northern Mariana Islands"
"146","MOZ",0.564770356468428,0.330463897197779,58776833.5140539,194937617.007773,3668139.53198038,17487876.3200623,7.55040686434633,15.4660339101714,17.1073365832168,10.69656368038,"Mozambique"
"147","MRT",0.302691297965909,0.155354049972334,483436.258046129,73860165.0403974,50817.9678444357,9465991.84523104,0.261191929865367,0.00168902523494585,24.9610302901281,15.9594521943167,"Mauritania"
"148","MSR",NA,NA,0,0,0,0,NA,NA,NA,NA,"Montserrat"
"149","MTQ",NA,NA,0,0,0,0,NA,NA,NA,NA,"Martinique"
"150","MUS",NA,NA,0,0,0,0,NA,NA,NA,NA,"Mauritius"
"151","MWI",0.696231729270576,0.240412922953641,42864135.851648,4562603.10455465,2218575.38326144,461479.20387152,6.25633949387532,16.1909840376103,18.3556669504382,7.39514598519064,"Malawi"
"152","MYS",0.292810680926189,1.68551212584204,4682314.79810906,605221.895562478,454660.36509173,11872.1636695435,15.9593091530902,0.666426047071208,5.21876245500702,30.5835739529288,"Malaysia"
"153","MYT",0.252761914594968,NA,4.09474301643848,0,0.436173553466797,0,12.3333333333333,NA,8.66666666666667,NA,"Mayotte"
"154","NAM",0.166026290326812,0.157185162871892,5612142.60759502,114512293.777229,579618.841962673,34835591.5514435,0.895740895933134,0.759542700116765,13.7173973046746,15.2035903613555,"Namibia"
"155","NCL",NA,NA,0,0,0,0,NA,NA,NA,NA,"New Caledonia"
"156","NER",0.158690652741805,0.141072479030594,71808593.3049727,126755098.193209,7975076.85471569,17654254.8919612,0.0138610331964209,0.0160117542089275,14.5972500768629,15.9468329060466,"Niger"
"157","NFK",NA,NA,0,0,0,0,NA,NA,NA,NA,"Norfolk Island"
"158","NGA",0.806033886089099,0.522082865248742,654651370.313686,96851667.4622407,31452649.3082479,5908890.03768939,3.2349177257683,10.5161339254365,21.3994977253275,15.5486692284697,"Nigeria"
"159","NIC",0.359717906721037,0.824301516861705,3820470.04715983,11562529.9854343,167510.461537342,426733.64280452,16.7456396921831,4.7388210254019,11.2394583569722,22.713776435927,"Nicaragua"
"160","NIU",NA,NA,0,0,0,0,NA,NA,NA,NA,"Niue"
