"","ISO3","NAME","Crop_TotalC_sum_MgC","Graze_TotalC_sum_MgC","Crop_FluxDensity_mean_MgC/ha","Graze_FluxDensity_mean_MgC/ha","CropArea_sum_ha","GrazeArea_sum_ha","Crop_ForestCover_mean_percent","Graze_ForestCover_mean_percent","Crop_Delta_mean_percent","Graze_Delta_mean_percent","Crop_ExpertRecs_mean_percent","Graze_ExpertRecs_mean_percent"
"50","CRI","Costa Rica",1806754.84056742,2708334.70116134,0.751117574815711,1.06565896768316,80180.7378385785,84715.4916439329,18.568334438584,11.9751508413007,18.0904886020869,16.8640113959858,23.5863685187007,30.2749801214802
"51","CUB","Cuba",30086280.3167258,6351282.70197977,0.901828237590163,1.01417732861555,1112047.69240469,208749.907364158,16.9072657258249,10.8339898646263,22.9166583946508,13.5780324380113,34.6797169516624,24.8375319192219
"52","CUW","Curaçao",0,0,NA,NA,0,0,NA,NA,NA,NA,4,5
"53","CXR","Christmas Island",0,0,NA,NA,0,0,NA,NA,NA,NA,21,31.25
"54","CYM","Cayman Islands",210.030582517397,0,0.897201887642624,NA,7.80317062823127,0,15.7972694487378,NA,26.1979166666667,NA,42,23.33333333
"55","CYP","Cyprus",685054.272977761,0,0.0891854370485606,NA,256041.156362317,0,2.01875029922292,NA,7.89963717911446,NA,9.75,23
"56","CZE","Czech Republic",45531375.516987,0,0.572225110937233,NA,2652299.74746665,0,7.30653439108311,NA,28.2177765014249,NA,35.2449700653988,34.8184030408712
"57","DEU","Germany",272914764.733386,1466842.20311658,0.75379188928408,0.988948733207111,12068528.4012359,49441.127191015,8.96648915403821,2.55389567421862,26.577801136874,31.1313939570049,35.3954871538233,34.9115350324156
"58","DJI","Djibouti",0,874510.489354761,NA,0.0752856494641009,0,387196.628476436,NA,0.410793736105908,NA,4.58852703469338,4,5
"59","DMA","Dominica",0,0,NA,NA,0,0,NA,NA,NA,NA,17.651637475846,26.0797343377034
"60","DNK","Denmark",57932362.8490217,0,0.938026500987205,NA,2058661.19944558,0,11.0777978081407,NA,24.4120544812612,NA,35.53846154,35
"61","DOM","Dominican Republic",567814.088614845,3547289.59213892,0.344804476656343,1.07967485493368,54892.3739932346,109517.217951597,14.0396461156968,9.32526781024204,7.95613241328959,19.3655134676299,25.0470127001187,29.1029954197384
"62","DZA","Algeria",13924791.1574487,40087729.74719,0.0830871868799005,0.0617391440468972,5586417.38489973,21643605.1854662,3.03170853313306,0.0596666870699379,8.08565414267777,11.4298006914529,5.14506228499079,7.84753765419308
"63","ECU","Ecuador",4170831.24916516,12765307.1395852,0.784830561872612,0.82324927469859,177143.596413708,516866.824015073,11.1782260128638,12.6002977964138,17.8948537807874,11.8907476818411,22.9330884005875,28.9306223807369
"64","EGY","Egypt",712899.386406275,319011.618575565,0.0276745337337174,0.0321171987981255,858670.758787059,331091.160409859,12.1136359326249,0.00751658198039952,3.22934196732535,4.99447665331571,4.02400052118952,5.07513206633241
"65","ERI","Eritrea",3670283.6022277,60085093.1767624,0.419337778385785,0.304745582663373,291752.360619342,6572159.05058018,2.44693439127435,0.491760814131229,24.6927562938683,21.3135665071162,17.3692317136266,17.0202726867659
"66","ESH","Western Sahara",1346.95687035067,348155.724216051,0.199303254750882,0.0349797623429668,225.277617272949,331768.715104924,NA,2.41970337406748e-05,NA,4.99997580296626,4.04613547512257,5.14442409603585
"67","ESP","Spain",41909949.6829196,2839648.37404377,0.123799383804527,0.714204942814531,11284372.1820924,132531.910838426,2.67733322553258,7.44220330109136,9.12174973553842,23.9938589375231,13.7239072637014,24.8491559525673
"68","EST","Estonia",14975850.9343192,0,0.771291584520655,NA,647219.600424157,0,12.3966289707197,NA,23.1513170966035,NA,35.53846154,35
"69","ETH","Ethiopia",232137670.693427,121052012.352855,0.524256371598744,0.373504522080174,14759806.0331636,10803261.6471571,8.21635067122781,2.14930157010904,18.2556181025264,19.9063526208481,22.3993290109124,22.7431616335205
"70","FIN","Finland",1593038.72731841,0,0.679004996260035,NA,78204.5658030443,0,16.0164245006427,NA,19.6897965749929,NA,35.53846154,35
"71","FJI","Fiji",0,0,NA,NA,0,0,NA,NA,NA,NA,29.0471860014551,28.2163386091529
"72","FLK","Falkland Islands",0,0,NA,NA,0,0,NA,NA,NA,NA,27.66666667,20
"73","FRA","France",387193549.117555,5096942.15654551,0.750196531175442,0.678076365383649,17204093.9952487,250558.905395152,6.95349439175988,5.03289082821131,28.0038277762939,24.8257742923433,32.0509928215309,33.2985729362722
"74","FRO","Faroe Islands",0,0,NA,NA,0,0,NA,NA,NA,NA,27.66666667,20
"75","FSM","Micronesia",0,0,NA,NA,0,0,NA,NA,NA,NA,24.1945167896351,30.0457178764194
"76","GAB","Gabon",18572.7799187831,6541889.61172567,0.820617156418912,0.94886005789378,754.423252203369,229815.751272706,10.6650526064084,4.14717745993694,14.5258974901789,23.6355087287111,21.7577620938009,30.4722967987625
"77","GBR","United Kingdom",147657088.486699,79972733.1195536,0.875049725488131,1.6002837721348,5624712.2948482,1665803.16383239,11.8011557769099,7.95179982115451,23.5124468717528,26.5456883477087,33.9879442281531,34.0406221198109
"78","GEO","Georgia",2427190.37996941,14054061.9024715,0.355283509508049,0.609740517618817,227723.33596628,768308.348462501,7.36417653302913,3.72194199961621,23.2696073054624,27.9259909339173,31.7826115968019,30.8516912566322
"79","GGY","Guernsey",4684.1449511114,0,0.841542976114288,NA,185.537957619222,0,15.5150640313865,NA,20.005730866685,NA,35.53846154,35
"80","GHA","Ghana",71888532.5539008,87481412.4404476,0.864527498202905,0.550175547161807,2771785.07733359,5300212.08029196,4.0018591862964,7.02241763221868,21.0261797125246,19.9299604760132,23.8173527869926,28.3585063513215
"81","GIB","Gibraltar",4.47942965607887,0,0.18713566684608,NA,0.797893444824219,0,3.22222222222222,NA,6.52777777777778,NA,9.75,23
"82","GIN","Guinea",5997404.94757713,26225001.8798326,0.623624948742558,0.426706309090368,320566.870609755,2048637.92895694,6.22450458289649,10.4891862094458,18.600955969727,17.1078528351874,24.3934036857307,27.7672962186297
"83","GLP","Guadeloupe",0,0,NA,NA,0,0,NA,NA,NA,NA,12.2965397897759,17.8108334989187
"84","GMB","Gambia",4755797.03714748,3742042.56825895,0.582382226157261,0.412938555372664,272203.650428901,302066.132242675,1.77602972028797,1.21927688318789,23.4947194501824,25.8459042082124,25.22222222,26.91666667
"85","GNB","Guinea-Bissau",696546.581610762,6374592.74023474,0.638928125542028,0.361171851246006,36339.3290400677,588324.986959629,6.83197540910247,11.0548014364026,17.9851564525013,15.8133361227071,25.22222222,26.91666667
"86","GNQ","Equatorial Guinea",16.238033214426,84.9611926010764,0.550700185002337,1.3777484973872,0.982871966552734,2.05555640869141,10,NA,11,NA,21,31.25
"87","GRC","Greece",7550209.70217883,1356335.61654642,0.136133316767613,0.418724596304464,1848729.3391148,107973.56452722,4.8384155873601,4.08147438725951,9.06294650834895,19.0425250663908,12.3469694082136,24.2084331921172
"88","GRD","Grenada",0,0,NA,NA,0,0,NA,NA,NA,NA,24.7882816211269,27.6694160171652
"89","GTM","Guatemala",2303109.47997049,705261.387557073,0.627370134930371,1.18934099940707,122368.457987782,19766.167087731,20.2780996867742,14.0156194677556,17.5250448568423,16.3201833876541,21.7115393350774,29.3349275006679
"90","GUF","French Guiana",3.15292961168289,0,0.236226913520598,NA,0.44490126953125,0,19.1806010427857,NA,4.6,NA,21,31.25
"91","GUM","Guam",0,0,NA,NA,0,0,NA,NA,NA,NA,42,23.33333333
"92","GUY","Guyana",1373986.16592151,23370295.3170694,0.400720051610303,1.42163279942473,114293.104824687,547968.395367316,13.1896269243333,5.99999451037106,8.60759989336969,21.1675963730858,21.2711545794208,30.9717097738569
"93","HKG","Hong Kong",395.622190176773,0,0.296101522096642,NA,44.5367732183479,0,15.0574619730111,NA,7.42970747322573,NA,21,31.25
"94","HND","Honduras",1706392.0760311,81433.4307654075,0.776626626196119,0.773746466275846,73239.4872247656,3508.18751424517,16.8234037150485,12.6240590236028,22.1345142943069,12.2896588299945,24.341759013893,28.4136455052155
"95","HRV","Croatia",14246711.102237,3455004.37673701,0.522237813671914,0.57024830317428,909337.389293126,201959.062248543,7.47154673975045,2.66385280279923,27.3928390982182,24.8366171514464,29.5097058840625,32.1946729834883
"96","HTI","Haiti",45206.3461386409,62709.6719587786,0.667251058498614,1.32162122458586,2258.33767579477,1581.6350098955,8.76541854251309,2.02686723741236,14.8674160763782,28.1165527340736,25.4879544732207,29.1257167062873
"97","HUN","Hungary",66838027.7460897,19427.2041493349,0.487291150612912,0.562669714530708,4572080.27562312,1150.89448555908,5.87196851251812,0.438004582151429,29.6664930273858,34.5619954178486,35.53846154,35
"98","IDN","Indonesia",92685446.13006,3844213.12737115,0.456979057496391,0.870670629136204,6760736.23138933,147174.411644237,14.6755095406429,9.53348027854541,9.23221902860701,14.6998031097998,21.8255221511142,30.8745732760306
"99","IMN","Isle of Man",156201.691041455,0,0.809423655226535,NA,6432.63018209906,0,18.5677252962599,NA,16.935107810698,NA,35.53846154,35
"100","IND","India",1599385005.99487,11267975.1751102,0.477930763712899,0.455106455449036,111549281.990118,825299.59310967,5.97181680647605,4.33595810762749,21.8905351103493,20.7175766637217,24.0671792373155,22.1366923675772
"101","IOT","British Indian Ocean Territory",0,0,NA,NA,0,0,NA,NA,NA,NA,21,31.25
"102","IRL","Ireland",11174656.7167867,18758690.1387979,0.90742428518755,1.76497882957709,410489.958563579,354276.017827982,15.8952450518116,4.23589281040814,19.6382046682757,30.7674103139656,35.53846154,35
"103","IRN","Iran",92101315.0738743,201243031.292722,0.220808209433432,0.160668952165676,13903667.0949562,41751072.3302258,3.38097369927744,0.0992314220928723,22.5663764608647,19.2826544356272,15.7536126272676,15.3934998502996
"104","IRQ","Iraq",25789854.2163342,2099158.65800463,0.149618445124247,0.0612417765001939,5745694.03189061,1142552.67017931,1.22711848526093,0.00577336634040915,12.0549361665625,10.00038791825,8.63416670374725,8.74068810580572
"105","ISR","Israel",1135795.13061263,43929.1175888494,0.0911633439418489,0.0329078178425836,415296.719602975,44497.1443148522,1.82972897031568,0,7.80350519623102,5,6.29545535531869,12.103122427002
"106","ITA","Italy",61507941.7855691,1890394.81068679,0.289617383023536,0.496070372690147,7079218.46672795,127024.639698822,5.99853783404132,3.43381670193162,15.1747415226731,21.8541654777443,16.8496914823578,25.8552552539007
"107","JAM","Jamaica",427241.043506205,0,0.727169382182284,NA,19584.6641316693,0,14.8961917730332,NA,19.4328840171597,NA,25.4581269732143,29.5693568942821
"108","JEY","Jersey",90723.242195565,0,0.887130268631747,NA,3408.86584542955,0,13.3838206041872,NA,22.2023460967275,NA,35.53846154,35
"109","JOR","Jordan",701158.83813609,124223.170462197,0.0907189043208226,0.032923064229708,257630.550613236,125771.171232704,1.32757334040106,0.00374022306660606,11.6865640186727,5.81352331952705,9.01552959128583,9.28302198188663
"110","JPN","Japan",42816606.3224912,0,0.494646534564178,NA,2885333.48769379,0,12.6660143723362,NA,20.7540822102156,NA,32.7529327044091,33.3216098518596
